Path	Sample Name	Tissue Category	Phenotype	Cell ID	Total Cells	Tissue Category Area (square microns)	Cell Density (per square mm)	Cell X Position	Cell Y Position	Process Region ID	Distance from Process Region Edge (microns)	Category Region ID	Distance from Tissue Category Edge (microns)	Nucleus Area (square microns)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Nucleus Axis Ratio	Nucleus blue hematox Min (Optical Density, Peak Weighting)	Nucleus blue hematox Mean (Optical Density, Peak Weighting)	Nucleus blue hematox Max (Optical Density, Peak Weighting)	Nucleus blue hematox Std Dev (Optical Density, Peak Weighting)	Nucleus blue hematox Total (Optical Density, Peak Weighting)	Nucleus DAB Min (Optical Density, Peak Weighting)	Nucleus DAB Mean (Optical Density, Peak Weighting)	Nucleus DAB Max (Optical Density, Peak Weighting)	Nucleus DAB Std Dev (Optical Density, Peak Weighting)	Nucleus DAB Total (Optical Density, Peak Weighting)	Lab ID	Slide ID	Annotation ID	TMA Sector	TMA Row	TMA Column	TMA Field	Confidence	inForm 2.4.7467.26870
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59533				15864.3	39969.0	#N/A	#N/A	5372	#N/A	26.5	0.02%	0.76	5.02	6.50	1.29	0.010	0.077	0.110	0.020	8.188	0.101	0.239	0.361	0.064	25.373		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	78.96%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59534				16131.8	39969.5	#N/A	#N/A	#N/A	1.1	50.3	0.01%	0.62	6.01	11.01	1.83	0.005	0.038	0.077	0.016	7.663	0.041	0.120	0.179	0.032	24.085		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	79.38%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59535				16150.3	39970.0	#N/A	#N/A	5257	#N/A	28.0	0.01%	0.70	5.49	7.03	1.28	0.030	0.097	0.140	0.022	10.863	0.020	0.069	0.102	0.017	7.676		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	44.96%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59536				15602.7	39971.0	#N/A	#N/A	#N/A	2.0	37.3	0.01%	0.69	6.01	8.00	1.33	0.058	0.109	0.180	0.027	16.246	0.050	0.178	0.278	0.053	26.566		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	67.45%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59537				16157.3	39971.0	#N/A	#N/A	#N/A	1.6	38.3	0.01%	0.64	6.00	9.00	1.50	0.021	0.065	0.111	0.021	9.950	0.076	0.146	0.223	0.036	22.400		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	81.28%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	NL	59538				16057.3	39972.0	#N/A	#N/A	5374	#N/A	17.5	0.01%	0.68	4.05	5.80	1.43	0.014	0.097	0.183	0.038	6.759	0.054	0.158	0.296	0.061	11.083		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	78.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59539				16072.3	39973.5	#N/A	#N/A	5374	#N/A	35.3	0.02%	0.71	6.50	7.00	1.08	0.027	0.091	0.138	0.021	12.805	0.107	0.275	0.414	0.074	38.791		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	83.82%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	T	E	59540				16136.8	39974.0	#N/A	#N/A	#N/A	2.1	24.3	0.01%	0.63	4.93	6.51	1.32	0.000	0.077	0.166	0.046	7.424	0.054	0.104	0.183	0.034	10.119		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	71.37%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59541				15569.7	39975.0	#N/A	#N/A	5372	8.5	39.0	0.02%	0.67	6.52	7.92	1.22	0.001	0.036	0.073	0.014	5.560	0.044	0.128	0.200	0.032	19.984		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	48.70%	
Z:\LCNEC\qptiff\27\Scan1	27_Scan1.qptiff	S	E	59542				15702.8	39975.5	#N/A	#N/A	5372	#N/A	40.5	0.02%	0.57	6.17	9.34	1.52	0.001	0.065	0.129	0.029	10.502	0.102	0.222	0.309	0.056	36.030		27_Scan1	27_Scan1_[15954,40316]	0	0	0	0	91.20%	
